	category
1186	1
5687	6
4549	5
8449	9
8569	9
3509	4
5481	6
7071	8
4884	5
766	0
6039	7
1121	1
2898	3
5533	6
8363	9
7901	9
5966	7
358	0
3977	4
8269	9
3283	3
6132	7
3596	4
831	0
1773	2
7311	8
5122	5
1057	1
368	0
8528	9
7137	8
3554	4
616	0
745	0
8128	9
6719	7
7039	8
4197	4
1927	2
6738	7
666	0
1689	2
2810	3
6858	8
2971	3
5996	7
7418	8
7766	9
1416	1
6944	8
3858	4
4307	4
5766	6
3580	4
5246	5
474	0
7744	9
6682	7
7316	8
3273	3
5553	6
5394	5
4370	4
8666	9
804	0
6620	7
3504	4
4119	4
2705	3
2660	3
7594	8
4503	5
2823	3
3339	3
431	0
7582	8
8272	9
51	0
5547	6
3262	3
3968	4
7520	8
5662	6
6978	8
3991	4
3341	3
5003	5
634	0
6867	8
4449	5
5507	6
6417	7
5352	5
2350	2
3171	3
5555	6
6879	8
4975	5
8141	9
2005	2
2389	2
1422	1
8432	9
6619	7
838	0
1910	2
7456	8
7865	9
2220	2
7549	8
3728	4
4051	4
3502	4
6034	7
816	0
3817	4
8042	9
7614	8
7637	8
395	0
1302	1
5608	6
3371	3
8319	9
6883	8
2422	2
443	0
6715	7
6397	7
599	0
559	0
2203	2
5887	7
2977	3
4256	4
5984	7
7122	8
2317	2
7919	9
4081	4
5354	5
851	0
7298	8
4434	5
5823	7
6577	7
5744	6
5583	6
477	0
5405	5
3183	3
2349	2
7069	8
7132	8
5106	5
1660	2
239	0
4392	4
2131	2
1188	1
1554	2
5065	5
2815	3
3258	3
3181	3
3099	3
6638	7
1503	2
1796	2
1857	2
4199	4
6242	7
2558	3
3476	4
3279	3
645	0
6016	7
5909	7
8143	9
1525	2
1545	2
1133	1
8135	9
2366	2
2640	3
7861	9
5586	6
4242	4
703	0
7212	8
580	0
7113	8
6635	7
5035	5
8199	9
4697	5
1856	2
1547	2
7256	8
4095	4
1452	2
2975	3
4442	5
5462	6
5532	6
878	0
245	0
279	0
7114	8
4614	5
515	0
399	0
1767	2
948	0
7192	8
199	0
7613	8
2919	3
79	0
8188	9
7595	8
3106	3
3285	3
1266	1
301	0
8620	9
4510	5
8155	9
2379	2
1321	1
3812	4
3478	4
571	0
5862	7
1125	1
2879	3
7059	8
7407	8
1650	2
3824	4
2428	2
6796	7
4638	5
5600	6
8625	9
6757	7
3994	4
3436	4
3582	4
8323	9
1900	2
6193	7
8147	9
2076	2
6749	7
7767	9
1078	1
2987	3
2785	3
5616	6
7960	9
3927	4
2875	3
8193	9
217	0
6819	8
6916	8
3689	4
7405	8
2154	2
7753	9
8385	9
8071	9
2445	3
3200	3
365	0
2552	3
7657	8
7645	8
5463	6
1236	1
2063	2
3122	3
2726	3
6348	7
6717	7
6939	8
2460	3
5718	6
6889	8
2662	3
4214	4
1939	2
4588	5
6654	7
3374	3
6800	7
3062	3
6162	7
2113	2
920	0
740	0
3698	4
3690	4
8285	9
1367	1
4691	5
8412	9
721	0
8195	9
2111	2
2873	3
1358	1
5132	5
2328	2
4390	4
4488	5
2681	3
3105	3
2240	2
4021	4
6683	7
6101	7
7589	8
2543	3
7451	8
7576	8
5719	6
1344	1
6219	7
6134	7
4198	4
4139	4
3311	3
2105	2
328	0
836	0
2732	3
6098	7
7750	9
7426	8
5436	6
5793	6
3118	3
3565	4
348	0
8418	9
1486	2
5538	6
5146	5
8653	9
7541	8
612	0
3808	4
3860	4
5236	5
8136	9
5262	5
2145	2
4474	5
7359	8
1459	2
6194	7
8586	9
4044	4
4854	5
2207	2
1760	2
4234	4
7992	9
3024	3
8191	9
8027	9
8654	9
1020	1
626	0
7029	8
2119	2
2781	3
6621	7
5200	5
799	0
6412	7
7787	9
1805	2
2632	3
651	0
6676	7
3779	4
1544	2
8226	9
3512	4
5572	6
1959	2
6584	7
3688	4
8715	9
6358	7
2020	2
5521	6
7182	8
310	0
8054	9
789	0
5625	6
4487	5
7538	8
6783	7
4861	5
7868	9
220	0
3431	4
8094	9
3259	3
5670	6
6343	7
3498	4
5710	6
411	0
5263	5
8708	9
8635	9
3514	4
5303	5
5316	5
357	0
5017	5
1461	2
7153	8
6210	7
392	0
7758	9
4608	5
4019	4
1831	2
6860	8
3905	4
2690	3
7691	8
5737	6
2725	3
6110	7
4401	4
3456	4
7672	8
7959	9
3700	4
303	0
2046	2
3092	3
2912	3
3006	3
1671	2
7968	9
4514	5
8675	9
7646	8
5722	6
2790	3
4617	5
6856	8
2182	2
122	0
8190	9
7681	8
4263	4
3244	3
8408	9
8466	9
8158	9
3830	4
4947	5
3960	4
3787	4
4315	4
6562	7
17	0
8234	9
5378	5
5370	5
2585	3
3887	4
4701	5
7850	9
514	0
6868	8
8114	9
3859	4
7849	9
2948	3
3853	4
4417	4
3782	4
4681	5
7522	8
4830	5
5575	6
6788	7
5986	7
1110	1
3108	3
7390	8
6608	7
618	0
261	0
3035	3
4375	4
6142	7
493	0
1335	1
4343	4
5776	6
5497	6
7126	8
4410	4
2825	3
5967	7
4116	4
5438	6
2237	2
7958	9
4322	4
5081	5
1753	2
7925	9
7742	9
3477	4
4624	5
7493	8
382	0
150	0
6707	7
1184	1
88	0
1221	1
2750	3
5488	6
6448	7
2061	2
1884	2
4659	5
6714	7
8274	9
7664	8
1021	1
943	0
1151	1
1272	1
2972	3
8388	9
4056	4
3383	3
6229	7
2163	2
7927	9
1770	2
3385	3
1967	2
6245	7
8352	9
5992	7
3097	3
5275	5
2489	3
7587	8
4331	4
6999	8
2557	3
2733	3
4973	5
758	0
5407	5
3709	4
5266	5
1725	2
7466	8
6325	7
2883	3
8501	9
2196	2
3017	3
7458	8
7133	8
2223	2
5131	5
3641	4
3741	4
2008	2
8682	9
6374	7
7046	8
4904	5
3673	4
3493	4
4093	4
3293	3
5824	7
1698	2
6580	7
980	0
8642	9
5311	5
3176	3
826	0
2209	2
1324	1
7281	8
7300	8
7998	9
5549	6
8373	9
7292	8
3158	3
8118	9
1207	1
7961	9
5202	5
4450	5
3426	3
3845	4
7354	8
4481	5
4383	4
3961	4
2908	3
2563	3
7170	8
2416	2
311	0
2794	3
4087	4
4278	4
5648	6
7463	8
8406	9
1284	1
6601	7
4391	4
3364	3
697	0
7688	8
8476	9
5067	5
2420	2
4569	5
304	0
6097	7
6499	7
4806	5
2159	2
6891	8
5483	6
488	0
3368	3
6854	8
249	0
7003	8
1225	1
8416	9
3497	4
1026	1
5324	5
3066	3
1832	2
2533	3
5677	6
769	0
4443	5
2573	3
8656	9
1382	1
6159	7
1505	2
1754	2
1115	1
5377	5
2589	3
874	0
6957	8
1232	1
7892	9
11	0
7201	8
2097	2
7782	9
7560	8
6814	8
45	0
8138	9
1203	1
2578	3
8676	9
4495	5
210	0
3004	3
3437	4
6493	7
4959	5
6149	7
3989	4
1037	1
5504	6
2836	3
6740	7
4284	4
1866	2
5611	6
7501	8
5154	5
513	0
2887	3
7461	8
3993	4
8051	9
6009	7
4669	5
7492	8
7327	8
639	0
1455	2
3022	3
1316	1
8264	9
5527	6
1050	1
4148	4
2695	3
6859	8
6550	7
1888	2
4003	4
585	0
1985	2
1692	2
5285	5
5815	7
2461	3
4122	4
1652	2
1364	1
306	0
8614	9
2859	3
4480	5
2470	3
4858	5
5531	6
2382	2
8070	9
5082	5
3724	4
3278	3
1915	2
2577	3
1898	2
8206	9
6559	7
4030	4
5777	6
7527	8
3567	4
724	0
6187	7
8184	9
1978	2
882	0
6936	8
8488	9
2285	2
4568	5
4023	4
2289	2
7491	8
1535	2
5554	6
1041	1
8243	9
6644	7
6896	8
3955	4
4155	4
7904	9
3243	3
1386	1
890	0
829	0
6308	7
1034	1
4652	5
6901	8
2444	3
6861	8
1010	1
4996	5
3672	4
7368	8
4015	4
5217	5
1045	1
3924	4
2885	3
1080	1
1481	2
4441	5
1327	1
1187	1
2840	3
2138	2
1636	2
412	0
3054	3
2872	3
7370	8
7028	8
6735	7
4932	5
3098	3
1070	1
5982	7
8248	9
7106	8
6818	8
4409	4
4175	4
4707	5
521	0
909	0
1820	2
8300	9
7535	8
3355	3
6567	7
5373	5
394	0
6793	7
6965	8
3212	3
3529	4
5414	5
7395	8
2065	2
8593	9
5351	5
4378	4
6111	7
2338	2
1204	1
8102	9
5957	7
7159	8
3434	4
1392	1
5876	7
2174	2
4300	4
2232	2
8407	9
5619	6
4489	5
4636	5
8353	9
7001	8
6692	7
3480	4
975	0
8627	9
688	0
6303	7
3021	3
57	0
6426	7
4274	4
4403	4
257	0
6459	7
105	0
1821	2
3213	3
3712	4
4722	5
1271	1
1153	1
2411	2
7879	9
5208	5
7323	8
2133	2
2176	2
7174	8
6600	7
4916	5
8655	9
3771	4
1863	2
5201	5
7812	9
7954	9
694	0
1175	1
6344	7
2751	3
2283	2
7512	8
7498	8
5543	6
5247	5
1002	1
6466	7
1417	1
7497	8
7508	8
89	0
4339	4
8187	9
3780	4
8496	9
1987	2
484	0
1578	2
6186	7
4849	5
2225	2
476	0
1301	1
5028	5
5925	7
3761	4
8137	9
6454	7
2353	2
4651	5
1543	2
4358	4
4566	5
4790	5
7918	9
413	0
6525	7
1129	1
2325	2
3651	4
2022	2
3525	4
6826	8
1979	2
830	0
716	0
7482	8
4615	5
5579	6
6667	7
5437	6
