	category
2033	2
3629	4
3648	4
782	0
2415	2
5027	5
5591	6
6857	8
8178	9
2238	2
7180	8
1016	1
6630	7
4004	4
6782	7
5412	5
6664	7
8377	9
3395	3
5335	5
3925	4
2339	2
3851	4
5474	6
2282	2
6442	7
3272	3
5188	5
4312	4
7031	8
8365	9
6396	7
2431	3
3720	4
2143	2
5029	5
539	0
6894	8
5503	6
8522	9
3922	4
3428	3
244	0
6188	7
5902	7
615	0
1811	2
3747	4
4348	4
6840	8
5849	7
3023	3
4456	5
5475	6
1487	2
1396	1
6399	7
8059	9
2453	3
490	0
6588	7
4896	5
6712	7
6465	7
3518	4
5738	6
4702	5
6679	7
594	0
4754	5
2644	3
1530	2
2609	3
2275	2
1911	2
5116	5
3807	4
2890	3
3534	4
1847	2
1647	2
276	0
6389	7
6051	7
2707	3
2880	3
7661	8
7981	9
7248	8
5756	6
3956	4
3893	4
7268	8
6702	7
293	0
1964	2
369	0
6637	7
3203	3
7346	8
7556	8
2655	3
1701	2
1914	2
466	0
2430	3
232	0
6231	7
2403	2
2922	3
37	0
4129	4
4729	5
4602	5
1659	2
1889	2
2758	3
101	0
2926	3
8150	9
6321	7
5789	6
2488	3
4213	4
957	0
8495	9
7949	9
5622	6
7924	9
7867	9
212	0
5577	6
3055	3
8383	9
1817	2
5948	7
6931	8
5667	6
7404	8
3044	3
7765	9
5469	6
5707	6
271	0
4192	4
1720	2
5929	7
2013	2
215	0
6537	7
7696	8
1404	1
1241	1
14	0
6467	7
3602	4
8227	9
1539	2
2777	3
7386	8
5556	6
7773	9
7417	8
2960	3
1534	2
8594	9
5741	6
3306	3
3867	4
7414	8
8245	9
3942	4
6158	7
6945	8
1085	1
119	0
4891	5
7740	9
3219	3
6754	7
6589	7
8575	9
5220	5
3854	4
8026	9
796	0
1385	1
3506	4
5322	5
5452	6
2688	3
3043	3
3178	3
749	0
1887	2
8176	9
4384	4
111	0
4906	5
2612	3
1401	1
939	0
2763	3
4241	4
2889	3
7966	9
3275	3
3215	3
4382	4
6763	7
360	0
5341	5
1354	1
2796	3
2888	3
267	0
5542	6
6542	7
1559	2
879	0
8321	9
3419	3
236	0
3028	3
8665	9
3592	4
8361	9
7056	8
5889	7
6528	7
1336	1
7379	8
177	0
8454	9
5910	7
7307	8
2570	3
2949	3
3802	4
4415	4
3559	4
5287	5
4134	4
4482	5
8055	9
1860	2
927	0
5727	6
6688	7
5371	5
5801	6
7542	8
8249	9
296	0
3613	4
3392	3
5774	6
6725	7
3253	3
7361	8
6733	7
3298	3
7152	8
4031	4
6119	7
3511	4
870	0
1484	2
835	0
4328	4
90	0
96	0
4336	4
2508	3
4591	5
6046	7
3393	3
6373	7
7052	8
3983	4
6053	7
6001	7
133	0
5465	6
3575	4
913	0
6606	7
5628	6
2574	3
5614	6
501	0
1328	1
786	0
4471	5
7815	9
8572	9
5118	5
3048	3
6502	7
4872	5
1552	2
4368	4
6196	7
6874	8
6961	8
7339	8
8664	9
2006	2
4600	5
7012	8
4235	4
6605	7
1696	2
1285	1
2147	2
3063	3
1347	1
8318	9
7703	8
8359	9
3931	4
1435	2
6280	7
819	0
8142	9
7665	8
3717	4
4578	5
4270	4
2659	3
5121	5
6489	7
8099	9
7064	8
184	0
1603	2
7125	8
3302	3
6655	7
6434	7
2591	3
2476	3
3973	4
7259	8
1517	2
685	0
7980	9
6367	7
5684	6
4136	4
2292	2
5517	6
1197	1
1120	1
1786	2
8504	9
3801	4
7449	8
2604	3
5848	7
5153	5
3524	4
2206	2
2511	3
5062	5
3210	3
5819	7
3349	3
7682	8
1850	2
1317	1
5512	6
3358	3
5651	6
373	0
1745	2
6813	8
7055	8
4687	5
4558	5
6059	7
1513	2
5513	6
4529	5
5356	5
1494	2
911	0
3784	4
7650	8
2023	2
2376	2
1995	2
4921	5
2518	3
6401	7
681	0
4153	4
6327	7
2262	2
5671	6
2805	3
4340	4
2471	3
6234	7
1394	1
3996	4
2956	3
2081	2
5498	6
1091	1
400	0
1074	1
92	0
8483	9
6596	7
2103	2
5197	5
4963	5
675	0
8700	9
3783	4
8601	9
667	0
5683	6
8683	9
3201	3
7360	8
1408	1
7006	8
5983	7
7553	8
203	0
1573	2
2021	2
8091	9
1718	2
4114	4
2701	3
1897	2
4063	4
1862	2
3849	4
3400	3
8514	9
1208	1
6346	7
4633	5
1374	1
7976	9
3533	4
4381	4
5816	7
5919	7
8126	9
6073	7
4524	5
3837	4
3101	3
6409	7
7257	8
4291	4
6002	7
6215	7
5101	5
7666	8
2669	3
4374	4
5853	7
2884	3
6125	7
1699	2
1966	2
1156	1
2548	3
567	0
6786	7
1286	1
1801	2
8316	9
6379	7
4338	4
6492	7
6482	7
7938	9
4934	5
2716	3
3401	3
7239	8
7433	8
7079	8
5829	7
6611	7
2025	2
5596	6
405	0
7877	9
4292	4
674	0
6005	7
5931	7
8172	9
550	0
5705	6
3652	4
7778	9
4438	5
190	0
5196	5
1878	2
4273	4
904	0
3376	3
3192	3
8730	9
1178	1
7987	9
1997	2
1782	2
7313	8
5137	5
4961	5
5061	5
5343	5
7103	8
6759	7
2109	2
4646	5
8063	9
2674	3
3416	3
66	0
1604	2
8579	9
3730	4
6420	7
8041	9
5942	7
4444	5
696	0
7013	8
5692	6
3528	4
7060	8
6236	7
5999	7
8189	9
4466	5
5374	5
7807	9
1182	1
6947	8
528	0
6657	7
354	0
6337	7
8381	9
4080	4
8196	9
8380	9
5338	5
2984	3
2712	3
4686	5
1073	1
7907	9
4589	5
2793	3
6422	7
2979	3
1626	2
5242	5
6627	7
3988	4
5401	5
5720	6
1310	1
6025	7
949	0
614	0
5317	5
7384	8
4176	4
176	0
4623	5
2969	3
5192	5
4848	5
6444	7
1848	2
1243	1
7824	9
6089	7
4945	5
6892	8
2721	3
3284	3
5610	6
1122	1
23	0
8192	9
6766	7
7176	8
6885	8
1682	2
1231	1
2911	3
3872	4
2480	3
877	0
5665	6
2844	3
858	0
5357	5
2670	3
2086	2
8308	9
2633	3
969	0
7585	8
2457	3
2049	2
7462	8
8539	9
6290	7
6135	7
1610	2
4257	4
2814	3
1536	2
6307	7
4976	5
1668	2
2816	3
8426	9
2770	3
2504	3
750	0
8570	9
1558	2
3257	3
8611	9
8008	9
3458	4
5672	6
7198	8
3289	3
1027	1
2601	3
7155	8
7420	8
3307	3
4928	5
4555	5
5880	7
8698	9
2132	2
2	0
4639	5
713	0
7333	8
7018	8
4042	4
8334	9
1348	1
2045	2
2095	2
2435	3
4219	4
1421	1
4802	5
1744	2
8573	9
577	0
1961	2
5222	5
8221	9
5448	6
6288	7
5031	5
418	0
6273	7
7431	8
3350	3
2394	2
3337	3
5388	5
5544	6
7164	8
6953	8
5264	5
5487	6
1681	2
2996	3
3873	4
865	0
960	0
2692	3
6122	7
2496	3
7452	8
2384	2
6971	8
6632	7
5918	7
6416	7
3009	3
8266	9
5635	6
3410	3
8479	9
8405	9
7233	8
2472	3
6698	7
5860	7
1828	2
2298	2
3117	3
2253	2
5580	6
1438	2
1152	1
6970	8
7265	8
6852	8
2941	3
2829	3
765	0
4587	5
1661	2
2120	2
2158	2
5240	5
4108	4
7725	8
61	0
7445	8
3398	3
7903	9
1929	2
3129	3
2221	2
5989	7
4053	4
1474	2
7738	9
6092	7
6581	7
3297	3
1307	1
6240	7
4225	4
3007	3
7746	9
6790	7
1106	1
8213	9
2455	3
2213	2
3566	4
4570	5
655	0
3484	4
2361	2
108	0
7057	8
2528	3
5364	5
3515	4
6394	7
3039	3
3836	4
2190	2
5349	5
3326	3
5168	5
6355	7
7761	9
2252	2
1275	1
8650	9
7860	9
8423	9
6201	7
5775	6
2970	3
4776	5
7826	9
7105	8
3010	3
2402	2
3599	4
2288	2
7299	8
4287	4
7184	8
298	0
2144	2
7821	9
8028	9
6924	8
998	0
8643	9
7728	8
10	0
6881	8
1270	1
3654	4
1299	1
7667	8
2183	2
4581	5
6506	7
754	0
7083	8
1521	2
2015	2
2296	2
7191	8
3662	4
1009	1
5955	7
1341	1
2886	3
7207	8
461	0
7294	8
456	0
6708	7
5653	6
8288	9
4367	4
3300	3
1410	1
7208	8
8145	9
1472	2
1477	2
1787	2
7460	8
8065	9
5633	6
2001	2
280	0
5638	6
4596	5
1815	2
8628	9
60	0
748	0
136	0
1992	2
3085	3
8368	9
6494	7
70	0
8069	9
6873	8
700	0
6295	7
657	0
552	0
462	0
8203	9
1726	2
6569	7
3714	4
1199	1
4448	5
6312	7
4211	4
951	0
4561	5
6913	8
2754	3
1131	1
4218	4
7269	8
2390	2
7330	8
2841	3
4559	5
7309	8
1008	1
2852	3
8670	9
4327	4
1090	1
4655	5
2629	3
3758	4
4502	5
5723	6
5898	7
3839	4
5627	6
6208	7
7739	9
4894	5
8379	9
676	0
6390	7
3598	4
1676	2
622	0
1684	2
2037	2
6685	7
3494	4
3315	3
2443	3
8679	9
5841	7
6235	7
5912	7
972	0
1022	1
5567	6
1916	2
6722	7
6797	7
2865	3
7839	9
5886	7
2258	2
4069	4
284	0
6386	7
3895	4
4997	5
852	0
7833	9
6075	7
2166	2
6876	8
2482	3
671	0
3280	3
7716	8
2450	3
1265	1
7473	8
1943	2
886	0
7784	9
5467	6
8106	9
4104	4
5214	5
6330	7
2171	2
4223	4
5332	5
7144	8
4516	5
1593	2
4316	4
4145	4
4248	4
1405	1
131	0
735	0
2245	2
6130	7
5505	6
3946	4
7227	8
4363	4
709	0
8718	9
6173	7
309	0
31	0
8233	9
8076	9
1919	2
8260	9
7636	8
6549	7
225	0
7252	8
5369	5
3438	4
4562	5
3417	3
893	0
8503	9
6141	7
7228	8
3222	3
3115	3
2608	3
5688	6
1945	2
6398	7
558	0
3235	3
6468	7
6088	7
6723	7
5271	5
5998	7
1440	2
4757	5
381	0
7229	8
223	0
2635	3
6520	7
2742	3
2372	2
3107	3
7188	8
7009	8
8450	9
8313	9
8078	9
6342	7
5085	5
1909	2
7363	8
636	0
2910	3
8000	9
3221	3
3939	4
1710	2
2605	3
3564	4
5850	7
3073	3
1928	2
1956	2
5764	6
5689	6
1134	1
8538	9
5630	6
3809	4
6247	7
1865	2
5445	6
1138	1
5807	7
73	0
2713	3
5642	6
5138	5
5333	5
7129	8
234	0
1804	2
2491	3
5379	5
188	0
2532	3
2307	2
7596	8
693	0
5092	5
7205	8
7115	8
4032	4
295	0
6473	7
6463	7
2704	3
1624	2
3142	3
6137	7
3180	3
8497	9
2016	2
3729	4
4204	4
2736	3
2038	2
7830	9
6640	7
4143	4
6993	8
5582	6
1970	2
240	0
6049	7
2773	3
4433	5
4765	5
1000	1
8562	9
677	0
2959	3
4807	5
5573	6
4202	4
4670	5
5548	6
7711	8
5745	6
4195	4
6886	8
1407	1
8283	9
7515	8
8052	9
3954	4
1614	2
6675	7
170	0
1253	1
704	0
7392	8
5207	5
1980	2
6929	8
2827	3
6439	7
2370	2
2626	3
8631	9
2452	3
81	0
7140	8
5804	7
7357	8
6647	7
2651	3
1004	1
1018	1
4454	5
510	0
1734	2
8297	9
6269	7
5838	7
5726	6
2787	3
3045	3
4720	5
5908	7
5327	5
7771	9
4753	5
6570	7
4458	5
5699	6
6557	7
3604	4
1223	1
6360	7
1582	2
6946	8
5387	5
1844	2
3404	3
1827	2
7165	8
6815	8
7793	9
1028	1
4621	5
771	0
4672	5
1081	1
8349	9
7779	9
1458	2
3668	4
7837	9
4361	4
4844	5
420	0
3324	3
5103	5
1837	2
6666	7
2861	3
2860	3
1191	1
903	0
4543	5
8153	9
582	0
6586	7
2263	2
8298	9
3759	4
5232	5
7149	8
8357	9
2368	2
7250	8
3620	4
6561	7
3193	3
4745	5
7931	9
3415	3
6972	8
690	0
6131	7
3664	4
1238	1
6546	7
1524	2
3727	4
2943	3
2082	2
4527	5
3612	4
8480	9
4641	5
7374	8
4734	5
7912	9
4840	5
6591	7
6742	7
7531	8
4200	4
3396	3
1971	2
1810	2
7474	8
1892	2
2614	3
8019	9
1075	1
123	0
842	0
3578	4
3844	4
2813	3
1778	2
5195	5
7632	8
22	0
6029	7
8231	9
8541	9
4515	5
1432	2
5928	7
4414	4
4536	5
4762	5
1516	2
1590	2
8309	9
2177	2
881	0
837	0
5235	5
6069	7
29	0
5409	5
4712	5
4009	4
1861	2
1339	1
7684	8
5043	5
5500	6
2484	3
1212	1
5603	6
5090	5
4029	4
5961	7
4491	5
7378	8
4905	5
6445	7
7736	9
7044	8
7475	8
5221	5
6179	7
5911	7
3987	4
4389	4
988	0
8613	9
4261	4
169	0
1478	2
143	0
8215	9
507	0
536	0
1303	1
5609	6
5466	6
1508	2
3864	4
7341	8
5847	7
3188	3
6414	7
7624	8
5518	6
3609	4
2387	2
5640	6
4055	4
6758	7
5806	7
8638	9
4286	4
8305	9
6120	7
3788	4
5491	6
1087	1
1874	2
3695	4
5985	7
4416	4
783	0
7948	9
2774	3
5938	7
1905	2
4341	4
5074	5
390	0
6124	7
8205	9
7436	8
3697	4
7732	9
2434	3
7922	9
6138	7
2749	3
49	0
3281	3
2666	3
8376	9
3886	4
6807	8
5552	6
56	0
6705	7
3469	4
149	0
4000	4
3611	4
1389	1
7226	8
3495	4
1779	2
7073	8
7408	8
5922	7
2459	3
7446	8
1794	2
565	0
1519	2
8587	9
6523	7
3911	4
3583	4
3165	3
2804	3
4372	4
7913	9
2417	2
1378	1
2866	3
4451	5
2621	3
7158	8
130	0
1666	2
3082	3
512	0
6154	7
2341	2
128	0
1788	2
4653	5
2222	2
7376	8
8641	9
3756	4
4036	4
1181	1
6661	7
7986	9
492	0
1242	1
8632	9
629	0
2404	2
3301	3
4810	5
2167	2
4337	4
4010	4
5249	5
3644	4
4314	4
6906	8
1872	2
1220	1
5021	5
4989	5
6598	7
5597	6
140	0
6230	7
6922	8
3189	3
3923	4
2057	2
7705	8
1380	1
106	0
6595	7
3313	3
900	0
1290	1
1875	2
5595	6
2151	2
6435	7
4246	4
6262	7
620	0
8510	9
895	0
1591	2
5060	5
6843	8
4477	5
2671	3
2516	3
2761	3
5863	7
288	0
6300	7
7425	8
5036	5
3080	3
868	0
3792	4
8605	9
4986	5
5420	5
5149	5
6833	8
7382	8
4595	5
4911	5
8123	9
5432	6
7715	8
934	0
5109	5
2136	2
3488	4
8444	9
2870	3
2377	2
8629	9
6530	7
8369	9
660	0
7654	8
4946	5
5515	6
3112	3
3271	3
6084	7
1268	1
6200	7
8346	9
5871	7
1549	2
4915	5
6181	7
2202	2
929	0
1599	2
359	0
3889	4
968	0
3880	4
3228	3
6407	7
7823	9
115	0
3127	3
5473	6
8550	9
2817	3
7625	8
4272	4
595	0
2842	3
2756	3
6741	7
2071	2
5587	6
3440	4
5479	6
2331	2
6436	7
8096	9
6086	7
5690	6
2102	2
5629	6
518	0
6515	7
7533	8
3752	4
7479	8
8440	9
6286	7
4586	5
7124	8
8194	9
2026	2
7301	8
256	0
3947	4
1789	2
12	0
6147	7
2625	3
1568	2
1596	2
8287	9
7222	8
7950	9
869	0
2906	3
1777	2
8105	9
2186	2
3113	3
3642	4
824	0
5761	6
4513	5
2125	2
3162	3
8186	9
7813	9
8441	9
3500	4
5927	7
2916	3
6471	7
770	0
5143	5
5305	5
471	0
7111	8
839	0
2617	3
7427	8
7123	8
5015	5
814	0
2806	3
5755	6
4180	4
1625	2
3834	4
8536	9
502	0
7647	8
7518	8
8127	9
4939	5
2515	3
6558	7
2314	2
173	0
4478	5
941	0
2682	3
8546	9
3081	3
3513	4
6496	7
2351	2
7193	8
3520	4
383	0
5117	5
4900	5
7843	9
6587	7
5851	7
8493	9
6477	7
3656	4
192	0
3132	3
6977	8
2173	2
3736	4
7524	8
4676	5
1864	2
3390	3
5489	6
7312	8
3090	3
142	0
5511	6
8343	9
479	0
3951	4
4350	4
5268	5
7917	9
146	0
8694	9
4782	5
8384	9
7608	8
2294	2
1843	2
4158	4
4435	5
3119	3
72	0
7442	8
2611	3
6368	7
3292	3
6851	8
3402	3
1149	1
341	0
6023	7
8255	9
6129	7
3138	3
1791	2
6816	8
2044	2
8156	9
8306	9
4736	5
7459	8
5093	5
7521	8
4400	4
8396	9
7086	8
3447	4
1657	2
5921	7
7955	9
2799	3
4805	5
1362	1
109	0
1142	1
4706	5
1083	1
912	0
424	0
3773	4
7021	8
3637	4
5808	7
6505	7
6817	8
5461	6
3256	3
581	0
6293	7
2744	3
991	0
930	0
7305	8
7396	8
4359	4
371	0
4066	4
121	0
2506	3
5647	6
2306	2
2466	3
1942	2
4585	5
3670	4
3746	4
1032	1
1014	1
5979	7
5701	6
5120	5
3146	3
1137	1
6326	7
1103	1
6510	7
4183	4
8263	9
7082	8
2914	3
3147	3
5856	7
5384	5
996	0
3948	4
4061	4
3992	4
916	0
2141	2
3124	3
1429	2
151	0
2576	3
7061	8
4564	5
387	0
8312	9
4177	4
155	0
6772	7
5501	6
4096	4
8420	9
2811	3
1346	1
5528	6
4574	5
2483	3
233	0
5729	6
3744	4
5520	6
5711	6
8367	9
3143	3
3749	4
5485	6
3423	3
7032	8
4794	5
8588	9
1747	2
5052	5
5478	6
2299	2
227	0
2684	3
8320	9
4212	4
3892	4
6272	7
6727	7
4853	5
3067	3
6271	7
3197	3
3915	4
6535	7
5810	7
4582	5
6191	7
134	0
7075	8
4047	4
604	0
55	0
2139	2
1256	1
3621	4
7597	8
4386	4
1880	2
5128	5
1836	2
8574	9
6335	7
569	0
1763	2
7616	8
2188	2
3681	4
5257	5
2569	3
915	0
8261	9
4758	5
2117	2
5427	5
417	0
3111	3
4984	5
2034	2
7754	9
4418	4
2311	2
8197	9
7526	8
204	0
917	0
7243	8
8291	9
784	0
6553	7
6	0
3236	3
6691	7
3074	3
6054	7
4950	5
6633	7
237	0
6706	7
6622	7
4504	5
3505	4
181	0
3636	4
7351	8
4184	4
8304	9
6438	7
3407	3
7762	9
5678	6
7401	8
5326	5
8068	9
3430	4
2731	3
1150	1
8322	9
7156	8
3685	4
2055	2
8400	9
3550	4
5455	6
8225	9
8157	9
3870	4
5411	5
4889	5
5372	5
7432	8
650	0
3585	4
3316	3
658	0
779	0
230	0
8030	9
5125	5
6428	7
385	0
3435	4
2485	3
344	0
2519	3
7863	9
4483	5
7888	9
6656	7
6255	7
5877	7
2602	3
322	0
1325	1
3797	4
8490	9
2907	3
7168	8
4936	5
2004	2
6802	7
6429	7
3883	4
8075	9
1506	2
2698	3
3914	4
6943	8
6400	7
1663	2
5339	5
5971	7
7914	9
6112	7
572	0
2876	3
4728	5
4743	5
208	0
2619	3
4332	4
2594	3
7906	9
4229	4
3542	4
4703	5
5482	6
5869	7
93	0
3840	4
5529	6
4539	5
1118	1
963	0
4132	4
6349	7
2200	2
4812	5
8056	9
4393	4
7572	8
4918	5
5742	6
1368	1
6113	7
5934	7
4154	4
2985	3
339	0
4279	4
4064	4
4606	5
292	0
6907	8
6959	8
8399	9
3331	3
3969	4
1622	2
3149	3
4550	5
5040	5
4078	4
5241	5
627	0
4649	5
3856	4
8688	9
5386	5
7530	8
2092	2
2717	3
3674	4
5353	5
2172	2
4369	4
5320	5
4396	4
2715	3
1567	2
5231	5
2193	2
160	0
4181	4
441	0
937	0
3058	3
4146	4
6251	7
940	0
3571	4
2054	2
989	0
2449	3
6170	7
3865	4
7476	8
4501	5
6812	8
8017	9
2665	3
1497	2
6105	7
2068	2
2249	2
3466	4
5706	6
1551	2
1099	1
5981	7
342	0
6028	7
4058	4
4742	5
447	0
6912	8
5279	5
5066	5
8324	9
1262	1
6673	7
2440	3
7669	8
3909	4
3464	4
6033	7
5944	7
3126	3
3226	3
4883	5
2030	2
3485	4
1645	2
1557	2
3816	4
6890	8
5129	5
624	0
5429	6
4751	5
7393	8
5444	6
1642	2
6895	8
30	0
1602	2
4978	5
6872	8
7347	8
3077	3
8262	9
1566	2
4597	5
3251	3
576	0
2934	3
8382	9
6795	7
5402	5
464	0
5757	6
5347	5
5079	5
5852	7
7510	8
6202	7
7564	8
4295	4
4290	4
4057	4
6771	7
7548	8
6841	8
1643	2
3705	4
384	0
2877	3
1282	1
6503	7
6534	7
4427	4
1618	2
3482	4
4305	4
1092	1
6951	8
1563	2
308	0
7953	9
600	0
1084	1
3739	4
3450	4
871	0
6541	7
3935	4
159	0
8478	9
2396	2
7832	9
999	0
5536	6
1144	1
7941	9
1331	1
793	0
6364	7
1724	2
5540	6
4419	4
5032	5
5903	7
6514	7
2933	3
139	0
187	0
8064	9
8393	9
8458	9
3483	4
7978	9
6077	7
6430	7
7143	8
5219	5
8333	9
6018	7
5259	5
5165	5
4890	5
4663	5
5283	5
4526	5
5800	6
83	0
6554	7
7402	8
1267	1
3102	3
5561	6
157	0
7731	8
4791	5
2534	3
2058	2
3351	3
6646	7
7862	9
2072	2
1882	2
2437	3
656	0
5329	5
4730	5
907	0
5006	5
4987	5
6653	7
3616	4
6566	7
774	0
7389	8
1209	1
7532	8
509	0
185	0
562	0
6213	7
2244	2
5652	6
3366	3
7915	9
5234	5
5342	5
2308	2
5008	5
6457	7
6806	8
8351	9
3472	4
3056	3
8633	9
1424	1
3037	3
3586	4
5682	6
8356	9
4493	5
4750	5
1859	2
7702	8
4377	4
4739	5
1835	2
1974	2
8152	9
8025	9
3800	4
7785	9
3577	4
7258	8
3540	4
5645	6
962	0
3362	3
8241	9
2155	2
1746	2
1816	2
6844	8
5791	6
5119	5
5733	6
6258	7
4255	4
3100	3
5228	5
7663	8
7435	8
7734	9
4627	5
4500	5
3503	4
5011	5
7668	8
4210	4
3601	4
861	0
278	0
5831	7
4927	5
683	0
8494	9
1537	2
6990	8
5046	5
1595	2
6474	7
6750	7
2201	2
7579	8
1254	1
3710	4
5059	5
1990	2
931	0
8049	9
6357	7
5740	6
7398	8
6662	7
5770	6
1743	2
3902	4
4436	5
4017	4
2727	3
1093	1
2014	2
1584	2
5213	5
7854	9
3590	4
2522	3
7128	8
7337	8
2029	2
994	0
6967	8
2087	2
8401	9
6760	7
4770	5
6582	7
7757	9
6618	7
3588	4
3563	4
4420	4
7246	8
7221	8
2135	2
3159	3
1179	1
1493	2
7658	8
5293	5
8661	9
1468	2
7642	8
1102	1
7659	8
1799	2
4432	5
8151	9
7486	8
6536	7
2853	3
2768	3
4944	5
2148	2
7974	9
5216	5
8112	9
1627	2
592	0
1969	2
3615	4
8144	9
3173	3
4124	4
1930	2
2843	3
8673	9
596	0
5442	6
7745	9
287	0
1876	2
5278	5
4955	5
6013	7
584	0
6551	7
7275	8
4102	4
7752	9
3157	3
7297	8
7717	8
6837	8
8592	9
5331	5
5604	6
982	0
2446	3
8039	9
270	0
560	0
2802	3
5360	5
7818	9
8047	9
6063	7
6410	7
1705	2
253	0
1297	1
469	0
4076	4
7280	8
6408	7
1330	1
3445	4
1490	2
3096	3
3031	3
4243	4
127	0
2024	2
8040	9
1019	1
1607	2
6508	7
235	0
5784	6
7723	8
3223	3
3757	4
7874	9
3544	4
8525	9
1785	2
5051	5
8622	9
5104	5
7047	8
936	0
908	0
8057	9
1249	1
4833	5
7077	8
6032	7
5323	5
1511	2
6365	7
63	0
4857	5
6148	7
1697	2
6491	7
1251	1
5516	6
5390	5
6043	7
5068	5
6700	7
4412	4
3894	4
4001	4
1240	1
7967	9
7387	8
7487	8
5559	6
3247	3
